Name,Current price,Change(%),Open,High,Low,Volume
LAUREATE EDUCATION INC.,14.24,0.28,14.25,14.42,14.16,601629
LANTHEUS HOLDINGS INC.,81.13,11.82,82.31,83.0,80.48,601467
AEHR TEST SYSTEMS,12.44,1.06,12.24,12.7,12.21,599812
DIVERSIFIED HEALTHCARE TRUST,2.81,0.0,2.8,2.84,2.72,596862
KEZAR LIFE SCIENCES INC.,0.6549,11.37,0.661,0.6884,0.6454,595251
TRADEWEB MARKETS INC.,105.08,1.04,104.01,106.06,103.19,593823
XENCOR INC.,19.44,10.41,19.44,19.55,18.82,593190
NUKKLEUS INC.,0.6085,113.07,0.5819,0.64,0.5185,592831
RESOURCES CONNECTION INC.,10.59,10.09,10.61,10.63,10.38,592105
REZOLUTE INC.,3.88,0.78,3.85,4.0,3.79,590978
APOLLOMICS INC.,0.2055,7.31,0.211,0.2149,0.1951,589294
B. RILEY FINANCIAL INC.,19.14,1.11,18.65,19.65,18.6,589149
ALNYLAM PHARMACEUTICALS INC.,153.86,12.19,157.3,157.32,152.3,587748
NEOGENOMICS INC.,13.01,10.69,13.05,13.2,12.99,586067
LIVANOVA PLC,53.42,0.89,52.93,55.08,52.54,582989
DEFINITIVE HEALTHCARE,5.54,10.54,5.54,5.57,5.46,581849
SOLOWIN HLD.,4.4,1.15,4.17,4.6,4.17,581790
RAPPORT THERAPEUTICS INC.,25.28,10.39,24.57,26.45,24.57,581716
CELLDEX THERAPEUTICS INC.,34.66,10.72,35.92,36.25,34.43,581366
PDS BIOTECHNOLOGY,2.74,2.62,2.67,2.85,2.61,581094
AXCELIS TECHNOLOGIES INC.,140.65,1.91,138.02,142.27,135.88,579962
VERACYTE INC.,21.41,0.14,21.36,21.43,20.9,579213
OUTSET MEDICAL INC.,3.64,12.15,3.71,3.88,3.58,579064
INTERACTIVE BROKERS GROUP INC.,119.74,11.09,120.9,121.04,119.55,576743
EVOLUS INC.,10.64,12.21,10.79,10.87,10.53,576710
ADTHEORENT HOLDING CO.,3.2,0.0,3.2,3.21,3.2,575636
DRAGANFLY INC.,0.2245,4.47,0.2228,0.2325,0.2135,575256
TABOOLA.COM,3.43,12.83,3.48,3.5,3.42,575041
KARYOPHARM THERAPEUTICS INC.,0.93,14.39,0.97,0.9799,0.9264,574983
KEROS THERAPEUTICS INC.,44.65,0.16,43.57,45.39,43.4,573211
AXSOME THERAPEUTICS INC.,76.02,0.03,75.34,76.89,75.34,572592
BLUEPRINT MEDICINES,106.71,2.73,103.85,107.12,102.55,572080
BRIGHT GREEN CORP.,0.2763,10.61,0.2795,0.2951,0.2676,571836
OPERA LTD.,14.18,13.67,14.56,14.69,14.16,571790
CARDIFF ONCOLOGY INC.,2.5,16.37,2.65,2.67,2.49,571777
TTM TECHNOLOGIES INC.,18.96,2.6,18.54,19.03,18.4,571432
FRONTDOOR INC.,35.31,0.34,35.1,35.5,35.1,568565
CARGURUS INC.,25.31,10.63,25.37,25.39,25.14,567107
SHATTUCK LABS INC.,4.59,17.83,5.0,5.05,4.53,566750
SPRUCE BIOSCIENCES INC.,0.6303,13.46,0.6501,0.6524,0.6301,566069
ACLARIS THERAPEUTICS INC.,1.13,0.0,1.12,1.18,1.12,564672
KULICKE AND SOFFA INDUSTRIES,47.61,10.15,48.02,48.7,47.57,564402
COGENT COMMUNICATIONS HLD.,53.45,1.89,52.28,53.76,52.28,562526
CHECK POINT SOFTWARE TECHNOLOGIES,159.12,0.95,158.64,159.23,156.65,561667
PROCEPT BIOROBOTICS,62.0,10.06,61.69,62.4,60.6,558331
VERINT SYSTEMS INC.,34.97,10.11,34.94,35.41,34.77,557760
PLAYTIKA HOLDING,8.11,12.41,8.31,8.31,8.1,556473
INTAPP INC.,32.46,13.74,33.55,33.89,32.37,556121
GROWGENERATION CORP.,2.41,0.42,2.39,2.52,2.39,554887
RED CAT HOLDINGS INC.,1.02,18.93,1.17,1.18,1.0,552405
EYEPOINT PHARMACEUTICALS INC.,8.69,13.55,9.03,9.1,8.65,552117
CAL-MAINE FOODS INC.,58.93,0.41,58.61,59.43,58.48,549362
ADAPTHEALTH CORP.,11.24,10.35,11.1,11.4,11.07,549210
NORTHFIELD BANCORP INC.,8.17,0.25,8.14,8.27,8.13,549145
AMBARELLA INC.,55.17,11.31,55.72,56.0,54.72,546277
PAYLOCITY HOLDING,133.87,12.97,137.46,138.32,133.72,546239
FINGERMOTION INC.,2.76,6.98,2.59,2.96,2.55,545473
PATRIA INVESTMENTS,12.12,11.54,12.28,12.33,12.06,545436
OPTINOSE INC.,1.15,13.36,1.18,1.19,1.12,545296
JOINT STOCK CO.,129.12,1.44,127.54,132.88,126.5,544083
WAFD INC.,26.51,10.19,26.39,26.78,26.39,544020
ROCKET PHARMACEUTICALS INC.,20.68,12.45,21.24,21.24,20.52,543248
CARDLYTICS INC.,8.2,10.49,8.58,8.67,8.13,543141
OMNICELL INC.,27.46,11.61,27.76,28.46,27.41,543089
OPEN LENDING CORP.,5.84,1.74,5.76,5.86,5.68,540274
DIANTHUS THERAPEUTICS INC.,24.88,11.5,25.27,25.81,24.16,539617
MACOM TECHNOLOGY SOLUTIONS HLD.,107.18,0.11,107.4,107.5,105.95,538386
CRITEO S.A. ADS,35.45,10.95,35.66,35.97,35.38,536586
BIODEXA PHARMACEUTICALS PLC ADS,0.9823,11.72,1.01,1.0299,0.96,535934
SUPERNUS PHARMACEUTICALS INC.,26.66,2.58,25.98,26.88,25.86,535794
LANZATECH GLOBAL INC.,1.82,19.0,1.98,2.01,1.81,533092
MASIMO CORP.,135.8,0.34,135.0,136.81,133.53,531342
MONOLITHIC POWER SYSTEMS INC.,852.56,3.04,824.57,856.3,821.04,531295
SBA COMMUNICATIONS,191.19,0.0,191.2,193.48,190.5,530571
CHICKEN SOUP FOR THE SOUL ENTERTAINMENT,0.29,1.4,0.2857,0.303,0.276,526787
JACK HENRY & ASSOCIATES INC.,162.21,11.71,165.18,165.76,162.01,525637
SKYE BIOSCIENCE INC.,9.51,112.43,10.79,10.95,8.36,525486
CINCINNATI FINANCIAL,113.67,10.12,113.02,114.39,112.78,525007
THOUGHTWORKS HOLDING INC.,2.7,11.46,2.74,2.79,2.69,524995
EXSCIENTIA PLC ADS,5.16,1.38,5.09,5.27,5.05,524331
GOGO INC.,9.48,2.05,9.31,9.49,9.25,521760
BRIGHTSPRING HEALTH SERVICES,10.52,1.15,10.34,10.71,10.34,521058
PURPLE INNOVATION INC.,0.9035,16.66,0.9648,0.9977,0.8992,520900
SLEEP NUMBER CORP.,11.37,15.96,12.14,12.56,11.34,517619
EVERCOMMERCE INC.,9.87,10.1,9.88,10.03,9.8,516619
QUANTUM COMPUTING INC.,0.61,13.28,0.62,0.6405,0.61,514922
SADOT GROUP INC.,0.3222,2.61,0.3046,0.35,0.3001,513901
ONESPAWORLD HOLDINGS,14.92,10.8,14.98,15.14,14.75,513616
SPORTRADAR GROUP AG,10.64,12.74,10.7,10.92,10.36,512338
GROUPON INC.,14.92,12.36,15.25,15.54,14.9,511988
ACI WORLDWIDE INC.,36.02,10.69,36.16,36.45,35.85,511681
KINETA INC.,0.4995,17.5,0.497,0.528,0.47,509582
ADEIA INC.,10.74,12.01,10.97,10.97,10.72,508861
EVERQUOTE INC.,19.11,3.02,18.66,19.25,18.57,507406
NEUROONE MEDICAL TECHNOLOGIES,0.8154,17.35,0.89,0.9742,0.7141,507158
UNICYCIVE THERAPEUTICS INC.,0.6458,10.69,0.6496,0.6886,0.64,505459
CASSAVA SCIENCES INC.,19.51,11.86,19.72,19.74,19.21,504480
COMPASS DIGITAL ACQUISITION,10.85,0.0,10.85,10.85,10.85,504407
MANGOCEUTICALS INC.,0.3002,0.1,0.2977,0.31,0.29,504404
WIX.COM,159.98,10.84,160.2,161.75,158.77,503659
PERFICIENT INC.,74.4,10.01,74.4,74.54,74.38,503613
SPAR GROUP INC.,2.16,19.24,2.4,2.4,2.08,502573
EDGEWISE THERAPEUTICS INC.,16.18,16.85,17.27,17.27,15.87,502378
PAGAYA TECHNOLOGIES,12.27,2.94,11.8,12.47,11.77,501811
SKYWATER TECHNOLOGY INC.,7.78,12.87,8.0,8.09,7.73,501803
CYBERARK SOFTWARE,255.05,0.55,253.62,257.63,252.96,499561
ATOUR LIFESTYLE HOLDINGS,18.0,11.69,18.13,18.27,17.91,498814
THE LOVESAC COMPANY,23.27,14.08,24.13,24.42,22.96,497608
ROPER TECHNOLOGIES INC.,560.1,1.18,551.74,561.89,551.74,496136
KYMERA THERAPEUTICS INC.,31.2,11.95,31.7,31.89,30.77,495994
SPROUT SOCIAL INC,33.55,10.18,33.4,33.81,33.09,495992
VIRPAX PHARMACEUTICALS INC.,0.5701,124.9,0.69,0.69,0.5688,495477
ALECTOR INC.,4.26,16.78,4.59,4.59,4.18,494520
PEGASYSTEMS INC.,56.83,10.12,56.55,56.99,55.9,493921
EAST WEST BANCORP INC.,71.17,0.59,70.51,71.31,70.44,493561
PLIANT THERAPEUTICS INC.,10.71,14.37,11.17,11.23,10.46,491264
FORMFACTOR INC.,59.98,2.46,58.53,61.34,58.12,490520
FIRST WATCH RESTAURANT GROUP,18.76,2.74,18.43,18.86,18.32,490411
CENTESSA PHARMACEUTICALS PLC ADS,8.52,110.6,9.56,9.75,8.5,489425
CAMTEK,119.27,11.48,120.54,122.93,118.96,488133
BIOXCEL THERAPEUTICS INC.,1.22,18.27,1.34,1.34,1.22,486442
BLUE BIRD CORP.,57.32,2.56,55.98,57.56,54.93,486205
JANUX THERAPEUTICS INC.,40.4,0.8,40.15,42.02,39.4,485171
ALLBIRDS INC.,0.5273,11.07,0.53,0.5475,0.513,481830
KINIKSA PHARMACEUTICALS,18.2,11.78,18.52,18.63,18.04,481110
PILGRIM S PRIDE,35.53,2.33,35.05,35.55,34.76,480135
ZAPATA COMPUTING HLD.,0.631,15.11,0.674,0.675,0.6309,479457
KRYSTAL BIOTECH INC.,173.0,12.65,177.83,180.72,172.45,477341
FIRST HAWAIIAN INC.,20.05,0.1,20.0,20.31,19.99,475065
CINGULATE INC.,0.57,114.93,0.7,0.7036,0.53,474399
FUNKO INC.,10.39,10.86,10.4,10.52,10.17,473309
MAINZ BIOMED N.V.,0.5752,14.13,0.631,0.64,0.5087,472888
EXPENSIFY INC.,1.28,13.76,1.33,1.33,1.26,470587
AVIS BUDGET GROUP INC.,104.41,11.06,105.27,106.96,104.34,470199
DISC MEDICINE INC.,43.54,12.94,44.83,44.83,42.87,467339
BEACON ROOFING SUPPLY INC.,96.8,10.94,97.72,98.18,96.73,466648
STEVEN MADDEN LTD.,43.86,0.41,43.49,44.04,43.45,466610
AEYE INC.,2.0,110.71,2.26,2.3,1.92,466220
PROTHENA CORP.,19.54,14.07,20.44,20.66,19.42,466125
PYXIS ONCOLOGY INC.,3.42,16.56,3.7,3.7,3.4,465868
ARCELLX INC.,53.81,0.11,53.9,54.08,52.21,463414
MATTHEWS INTERNATIONAL,24.31,11.06,24.29,24.61,23.42,463365
STOKE THERAPEUTICS INC.,15.07,13.4,15.56,15.8,15.0,462469
908 DEVICES INC.,5.49,13.51,5.68,5.72,5.45,460855
VACASA INC.,5.57,23.23,4.52,6.24,4.5,458602
TOURMALINE BIO INC.,15.55,3.39,14.77,16.15,14.77,458271
THE ODP CORP.,39.58,10.28,39.64,39.75,39.21,457620
TRINITY CAPITAL INC.,14.88,0.07,14.92,14.98,14.81,457583
CINTAS CORP.,711.01,0.5,707.15,713.68,704.57,457067
ALIGNMENT HEALTHCARE INC.,7.55,14.43,7.8,7.92,7.53,455734
GAIN THERAPEUTICS INC.,1.28,13.03,1.31,1.36,1.26,455473
TPG INC.,40.98,10.63,41.34,41.54,40.91,454175
MAXCYTE INC.,4.41,15.97,4.76,4.76,4.4,453731
PROFICIENT AUTO LOGISTICS INC.,15.25,1.26,15.09,15.96,14.5,451330
LARIMAR THERAPEUTICS INC.,7.87,11.5,8.12,8.3,7.82,450842
XOMETRY INC.,12.55,0.08,12.75,12.86,12.35,450274
THE MIDDLEBY CORP.,126.34,1.0,125.05,126.64,125.05,448553
NEW YORK MORTGAGE TRUST INC.,6.03,10.33,6.03,6.05,5.99,448540
SEMLER SCIENTIFIC INC.,37.25,13.62,37.2,38.8,35.56,447825
INDUSTRIAL LOGISTICS PROPERTIES TRUST,3.6,11.91,3.65,3.7,3.56,446693
LIPOCINE INC.,7.18,132.83,11.01,11.79,6.27,446337
COLUMBIA SPORTSWEAR CO.,81.72,10.32,82.01,82.34,81.29,443587
STERLING CHECK CORP.,14.76,11.86,15.01,15.01,14.76,442988
NORTHWEST BANCSHARES INC.,10.87,10.09,10.81,10.94,10.8,441305
COUCHBASE INC.,16.86,12.6,17.31,17.32,16.67,439545
WINGSTOP INC.,428.85,2.75,417.0,429.22,413.78,439205
TH INTERNATIONAL,0.7478,12.36,0.7451,0.776,0.7208,438934
TARGET HOSPITALITY,7.95,0.38,7.83,8.0,7.83,438871
GOOSEHEAD INSURANCE INC.,58.16,10.15,58.25,59.38,57.63,438378
MONDAY.COM,225.08,1.23,222.15,227.76,220.64,437302
ENCORE ENERGY CORP.,4.15,0.97,4.18,4.2,4.1,436257
ZEBRA TECHNOLOGIES,295.25,12.36,302.09,302.09,294.45,436187
ANGIODYNAMICS INC.,5.65,14.07,5.88,5.92,5.64,436107
CARECLOUD INC.,1.89,118.88,2.26,2.28,1.87,436043
OXFORD SQUARE CAPITAL,2.98,10.67,3.0,3.01,2.96,435954
ADICET BIO INC.,1.34,1.52,1.3,1.38,1.3,435229
ICON PLC,318.63,0.71,316.2,319.27,314.81,435076
PLBY GROUP INC.,0.75,14.65,0.79,0.7966,0.7401,433667
FRESHPET INC.,131.21,1.16,128.31,132.78,127.99,433342
HEALTHEQUITY INC.,84.74,0.44,84.71,85.09,83.75,431963
GOLDEN ENTERTAINMENT INC.,30.14,10.82,30.3,30.6,29.8,431460
CONCENTRIX CORP.,58.27,10.53,58.37,59.0,57.53,430654
INOZYME PHARMA INC.,4.4,14.35,4.59,4.62,4.24,430297
ALDEYRA THERAPEUTICS INC.,3.63,11.36,3.68,3.8,3.59,429419
AXONICS INC.,67.51,0.34,67.17,67.8,67.17,429331
CAPRICOR THERAPEUTICS INC.,4.84,12.42,4.93,4.97,4.72,429180
ASLAN PHARMACEUTICALS,0.3121,113.33,0.37,0.37,0.3105,428146
RYANAIR HOLDINGS PLC ADS,117.73,10.57,117.68,117.73,116.13,427939
SAGIMET BIOSCIENCES,3.95,16.4,4.2,4.26,3.92,427314
BIOVENTUS INC.,5.82,12.02,5.86,5.97,5.74,427206
NATIONAL CINEMEDIA INC.,4.52,12.38,4.58,4.63,4.47,425898
CG ONCOLOGY INC.,33.89,0.47,33.73,35.2,33.53,425811
RAMACO RESOURCES INC.,12.29,0.74,11.95,12.32,11.94,425137
ENCORE WIRE CORP.,289.3,0.03,289.25,289.4,289.2,424970
POTLATCHDELTIC CORP.,40.21,10.74,40.42,40.5,40.05,424495
IRHYTHM TECHNOLOGIES INC.,98.16,2.52,95.26,102.07,93.54,424217
DOMO INC.,6.62,0.46,6.59,6.8,6.57,422242
BIOLIFE SOLUTIONS INC.,19.96,11.43,20.22,20.63,19.63,420126
MERCER INTERNATIONAL INC.,8.57,0.59,8.49,8.6,8.34,419669
CORBUS PHARMACEUTICALS HLD.,43.81,10.9,43.03,43.98,40.61,418829
SEACOAST BANKING,22.41,11.1,22.6,22.85,22.36,415688
VENUS CONCEPT INC.,0.909,8.14,0.7689,0.9401,0.7689,414456
WEARABLE DEVICES,0.4399,0.66,0.433,0.4528,0.4135,413699
ICHOR HOLDINGS,37.02,10.16,36.91,37.86,36.85,413669
INNOVIVA INC.,16.22,0.37,16.41,16.5,16.21,413471
ITEOS THERAPEUTICS INC.,14.95,11.97,15.05,15.35,14.72,413208
J-LONG GROUP LTD.,0.4848,113.89,0.552,0.565,0.4848,412266
4D MOLECULAR THERAPEUTICS INC.,22.78,14.29,23.64,23.64,22.5,411939
HYCROFT MINING HOLDING,2.47,14.63,2.6,2.66,2.46,411146
UNITED BANKSHARES INC.,31.57,0.38,31.43,31.95,31.21,409980
EZCORP INC. NON-VOTING,10.32,1.08,10.2,10.4,10.17,409373
HANCOCK WHITNEY,44.67,10.31,44.83,45.29,44.63,409226
ACUMEN PHARMACEUTICALS INC.,2.33,16.8,2.49,2.5,2.33,408589
INSULET CORP.,196.4,11.01,197.59,199.02,193.74,408014
IMMATICS N.V.,12.58,13.31,12.9,13.12,12.51,407248
LIGHTWAVE LOGIC INC.,3.33,13.76,3.46,3.47,3.32,406084
PROKIDNEY,2.68,18.22,2.96,3.0,2.66,405293
D-MARKET ELECTRONIC SERVICES & TRADING,1.91,6.7,1.81,1.98,1.77,404211
PACIFIC PREMIER BANCORP INC,21.07,10.19,20.99,21.29,20.99,403453
JAGUAR HEALTH INC.,3.91,3.44,3.76,3.95,3.72,403343
ASTRIA THERAPEUTICS INC.,8.99,1.81,8.85,9.01,8.76,403220
QUANTERIX CORP.,13.78,11.92,14.02,14.44,13.71,402321
VERITONE INC.,2.51,11.57,2.52,2.63,2.49,401987
JAMF HOLDING CORP.,15.18,12.25,15.56,15.56,15.17,401786
SAFETY SHOT INC.,1.13,10.88,1.14,1.19,1.12,400795
NEXSTAR MEDIA GROUP INC.,151.94,0.02,152.13,154.44,150.62,400514
AEMETIS INC,3.15,1.94,3.19,3.19,3.12,400338
TELOS CORP.,3.82,13.54,3.96,4.03,3.75,399787
SILVACO GROUP INC.,17.61,2.86,17.02,18.29,16.55,399449
INMUNE BIO INC.,7.7,17.0,8.23,8.41,7.41,399083
CODEXIS INC.,2.73,18.39,2.97,2.97,2.72,398584
TRANSCODE THERAPEUTICS INC.,1.01,110.62,1.13,1.14,1.0,398000
CENTURION ACQUISITION,10.0,10.1,10.0,10.02,10.0,397126
ARGO BLOCKCHAIN PLC ADS,1.25,13.85,1.3,1.3,1.23,396589
MILLERKNOLL INC.,25.19,0.4,25.1,25.56,25.06,395971
SOLENO THERAPEUTICS INC.,41.9,11.39,42.65,42.69,40.54,394690
VAREX IMAGING CORP.,15.19,0.33,15.11,15.41,15.11,394334
LYELL IMMUNOPHARMA INC.,2.1,13.23,2.17,2.23,2.09,393335
SKYWEST INC.,81.42,3.09,78.94,81.56,78.72,391490
STAGWELL INC.,6.48,11.97,6.59,6.68,6.47,391351
GAMER PAKISTAN INC.,0.219,18.21,0.2256,0.2449,0.2143,391169
THERAVANCE BIOPHARMA INC.,8.48,0.59,8.41,8.59,8.31,391137
SILICON MOTION TECHNOLOGY,84.88,1.92,83.66,85.5,82.85,388681
THREDUP INC.,1.67,15.11,1.76,1.76,1.67,388520
AXOGEN INC.,7.15,13.51,7.35,7.39,7.06,387521
RADIUS RECYCLING INC.,14.86,13.19,15.28,15.46,14.68,386316
POWELL INDUSTRIES INC.,164.27,13.26,167.3,167.3,153.41,386090
O REILLY AUTOMOTIVE INC.,1056.65,1.28,1044.08,1058.92,1042.06,385617
EQUINIX INC.,773.84,1.5,768.33,774.92,763.07,385362
WINTRUST FINANCIAL,93.55,0.14,93.29,94.19,92.96,383564
CASEYS GENERAL STORES INC.,376.83,10.12,377.1,380.62,375.93,382967
MANHATTAN ASSOCIATES INC.,237.37,1.98,232.76,237.84,231.49,381736
OMEROS CORP.,4.09,1.24,4.07,4.25,3.99,381355
BIOATLA INC.,1.6,2.56,1.58,1.67,1.52,380908
POWER INTEGRATIONS INC.,73.52,11.01,74.4,76.3,73.37,380704
ALIGOS THERAPEUTICS INC.,0.4206,110.74,0.5,0.5,0.4183,380656
VIVANI MEDICAL INC.,1.33,16.99,1.4,1.45,1.33,380400
ARKO CORP.,6.21,2.31,6.09,6.26,6.05,380278
WAVE LIFE SCIENCES,5.71,14.67,5.95,6.02,5.69,380023
BULLFROG AI HOLDINGS INC.,1.98,117.15,2.44,2.45,1.92,379649
REGENERON PHARMACEUTICALS INC.,1039.11,10.6,1046.5,1052.34,1036.0,379258
AUDIOEYE INC.,18.26,16.31,19.19,19.25,17.69,377281
MR. COOPER GROUP INC.,81.84,11.04,82.43,82.88,81.73,376829
TALPHERA INC.,0.7811,121.34,0.97,1.0,0.7811,376268
INDEPENDENT BANK,46.51,10.02,46.5,46.99,45.78,376168
ACCURAY INC.,1.74,16.95,1.92,1.92,1.74,374262
SUNOPTA INC.,5.31,14.15,5.54,5.54,5.3,371837
GREENIDGE GENERATION HLD.,3.0,16.25,3.16,3.21,2.98,371593
SEER INC.,1.67,12.91,1.71,1.74,1.67,370291
URBAN ONE INC.,2.05,113.5,2.34,2.36,2.01,369662
INTERDIGITAL INC.,117.58,0.38,117.14,117.72,116.04,369658
CATHAY GENERAL BANCORP,36.21,0.67,35.92,36.63,35.92,368274
PERDOCEO EDUCATION,20.6,0.0,20.68,20.78,20.51,368146
CHROMADEX CORP.,2.75,17.09,2.93,3.03,2.73,367660
TRUPANION INC.,27.71,4.96,26.51,27.97,26.28,367356
AEROVIRONMENT INC.,219.31,1.95,215.82,219.34,214.0,365539
CLEARMIND MEDICINE INC.,1.23,10.81,1.13,1.26,1.11,365228
GRI BIO INC.,2.94,1236.36,3.02,3.19,2.55,364898
REPAY HOLDINGS CORP.,10.74,10.56,10.81,10.93,10.71,364593
SERVE ROBOTICS INC.,2.05,1.99,2.03,2.23,1.99,364236
ALLEGIANT TRAVEL CO.,52.85,12.72,54.47,54.92,52.31,363309
22ND CENTURY GROUP INC,0.6023,19.81,0.68,0.6825,0.5901,362916
AXON ENTERPRISE INC.,293.52,11.23,297.48,300.85,292.04,362426
DESTINATION XL GROUP INC.,3.6,10.55,3.61,3.62,3.43,362420
VERICEL CORP.,43.37,3.98,41.92,43.49,41.66,361690
ARQ INC.,5.88,1.91,6.35,6.38,5.86,361659
PHOTRONICS INC.,24.93,10.84,25.17,25.38,24.88,361336
BLACKROCK TCP CAPITAL,10.75,0.0,10.71,10.8,10.67,360915
MARKETAXESS HOLDINGS INC.,195.61,11.88,198.37,199.88,194.19,360698
VERA THERAPEUTICS INC.,35.53,10.53,35.43,35.69,34.65,360270
CONN S INC.,2.04,116.39,2.46,2.47,2.04,359684
CANDEL THERAPEUTICS INC.,6.72,16.93,7.16,7.25,6.71,359120
NMI HOLDINGS INC,32.71,1.39,32.33,32.82,32.16,359061
POET TECHNOLOGIES INC.,1.95,13.37,1.77,2.02,1.71,358461
CERAGON NETWORKS,2.52,2.44,2.45,2.55,2.45,358135
SOLID BIOSCIENCES INC.,6.8,18.97,7.44,7.44,6.7,357874
BJ S RESTAURANTS INC.,34.25,10.93,34.46,35.08,34.11,357165
MERIT MEDICAL SYSTEMS INC.,81.34,0.78,80.95,81.95,80.02,356880
SILICON LABORATORIES INC.,118.49,10.8,119.26,120.15,117.28,356629
AXT INC,3.77,1.89,3.69,3.83,3.6,356089
RHYTHM PHARMACEUTICALS INC.,41.39,0.56,41.35,41.48,40.09,355925
INDEPENDENT BANK GROUP INC,43.11,0.09,42.67,43.97,42.67,355423
AMPLITUDE INC.,8.25,12.02,8.44,8.44,8.2,354890
CONTEXTLOGIC INC.,5.65,1.25,5.54,5.81,5.54,354877
MORPHIC HOLDING INC.,26.16,0.15,26.14,26.47,25.25,354695
LIBERTY LATIN AMERICA,8.29,0.48,8.25,8.49,8.25,354663
DUOLINGO INC.,211.83,10.02,211.02,213.97,208.12,353400
PUMA BIOTECHNOLOGY INC,3.09,13.44,3.18,3.22,3.03,352899
SMITH & WESSON BRANDS INC.,16.34,1.05,16.16,16.36,16.08,352554
WOODWARD INC.,185.51,0.53,184.4,186.36,183.28,352546
TENAYA THERAPEUTICS INC.,3.16,14.24,3.3,3.31,3.15,352383
VUZIX CORP.,1.33,12.92,1.36,1.38,1.32,352258
COHU INC.,32.26,2.06,31.65,32.28,31.5,352055
UPBOUND GROUP INC.,31.53,11.07,31.3,31.73,31.3,350175
ICU MEDICAL INC.,119.61,0.93,117.98,121.63,117.19,348815
UNIVERSAL DISPLAY,209.33,1.01,207.5,209.8,206.36,348712
B. RILEY FINANCIAL,18.2,1.39,18.21,18.56,18.07,348711
ILEARNINGENGINES INC.,8.58,3.87,8.0,8.6,7.68,348126
CHECKPOINT THERAPEUTICS INC.,1.94,14.43,2.02,2.11,1.91,346436
ONCOLYTICS BIOTECH INC.,1.02,0.99,1.0,1.04,0.99,344338
HEALTHCARE SERVICES GROUP INC.,10.17,11.64,10.32,10.32,10.16,343960
SHINECO INC.,3.17,116.36,3.72,3.79,2.91,343779
MAWSON INFRASTRUCTURE GROUP,1.73,16.49,1.85,1.88,1.65,343274
LEXINFINTECH HOLDINGS,1.69,0.6,1.68,1.69,1.66,343086
FLY-E GROUP INC.,4.4,8.37,4.1,4.51,4.06,342986
CASELLA WASTE SYSTEMS INC.,99.49,0.91,98.91,100.29,98.24,341517
AMERICAN PUBLIC EDUCATION INC.,16.34,2.25,16.04,16.49,15.98,341423
JIN MEDICAL INTERNATIONAL,3.11,6.87,2.85,3.11,2.76,340826
SPECTAIRE HOLDINGS INC.,0.332,114.87,0.3783,0.3783,0.318,340140
RED ROCK RESORTS INC.,52.19,10.57,52.45,52.84,51.44,338994
NUVALENT INC.,78.1,1.19,77.51,79.22,75.96,338322
BRAND ENGAGEMENT NETWORK INC.,3.59,113.08,3.9,3.95,3.46,337990
BLACK DIAMOND THERAPEUTICS,5.32,12.74,5.44,5.47,5.3,337890
SIMMONS FIRST NATIONAL,16.51,0.61,16.47,16.72,16.43,337090
TURTLE BEACH CORP.,14.48,13.92,15.0,15.0,14.25,336736
CUE BIOPHARMA INC.,1.35,0.75,1.33,1.42,1.26,335971
RAPT THERAPEUTICS INC.,3.19,13.63,3.3,3.41,3.14,335842
TSCAN THERAPEUTICS INC.,6.94,16.72,7.4,7.5,6.73,335383
AQUA METALS INC.,0.3568,13.57,0.37,0.38,0.356,335110
LIBERTY MEDIA CORP.,35.95,2.22,35.02,36.06,35.0,334297
BROOKLINE BANCORP INC.,8.22,11.2,8.27,8.39,8.21,334024
ESTABLISHMENT LABS HLD.,43.5,0.67,43.62,43.72,42.36,333601
SURMODICS INC.,41.94,0.07,41.95,41.98,41.85,332504
SPORTSMAN S WAREHOUSE HLD.,2.58,14.09,2.69,2.73,2.58,331653
PURPLE BIOTECH,0.505,16.48,0.555,0.5571,0.48,331422
VOYAGER THERAPEUTICS INC.,8.16,11.21,8.3,8.33,8.11,331405
LIFE360 INC.,31.25,2.83,30.95,31.31,30.55,331316
LINCOLN ELECTRIC HLD.,184.94,0.26,184.66,186.58,182.98,331313
IMPERIAL PETROLEUM INC.,3.45,11.43,3.52,3.66,3.4,329996
SANMINA CORP.,67.6,0.06,67.83,68.5,67.18,328946
ADVERUM BIOTECHNOLOGIES INC.,6.59,19.97,7.28,7.4,6.59,328874
PLAYA HOTELS & RESORTS N.V.,8.39,10.36,8.43,8.5,8.38,328759
COLOR STAR TECHNOLOGY CO.,0.2198,2.52,0.2135,0.226,0.2021,327238
BANDWIDTH INC.,15.2,12.44,15.55,15.81,15.11,325718
ARTERIS INC.,8.12,1.5,8.2,8.69,8.11,325554
COMPUGEN,1.86,15.1,1.95,1.98,1.86,323885
QUANTUM-SI INC.,1.31,11.5,1.34,1.38,1.3,323368
ANAPTYSBIO INC.,22.89,12.1,23.16,23.16,22.36,322144
ARB IOT GROUP LTD.,0.51,113.71,0.58,0.58,0.465,321763
BIOVIE INC.,0.4488,12.86,0.4658,0.4666,0.4488,321500
COMMVAULT SYSTEMS INC.,118.06,10.2,118.3,119.25,117.42,320799
NATIONAL BEVERAGE,49.17,10.38,49.2,50.13,49.12,320456
PETMED EXPRESS INC.,4.32,0.47,4.28,4.43,4.23,319576
INVIVYD INC.,1.4,14.76,1.47,1.47,1.4,318747
